author,word count
achilles_tatius,43748
aelian,146808
aelius_aristides,319763
aeschines,71261
aeschylus,56498
ammianus,128772
andocides,25156
anonymous,1212
antiphon,18388
apollodorus,36302
apollonius,50512
appian,118255
apuleius,84039
aretaeus,60372
aristophanes,125219
aristotle,313902
athenaeus,273888
augustine,59652
aurelius_victor,21356
ausonius,53168
bacchylides,8256
barnabas,7103
basil_of_caesarea,139688
bede,79669
bion_of_phlossa,2289
boethius,38576
caesar,91490
caesar_augustus,2696
callimachus,12093
callistratus,3945
catullus,15334
celsus,103015
chariton,36395
cicero,1131074
claudian,85223
clement,33325
colluthus,3118
columella,81872
corippus,38416
curtius_rufus,79483
demades,2068
demetrius,16329
demosthenes,298812
dinarchus,10812
dionysius_halicarnassensis,397272
dracontius,52840
ennius,5085
ennodius,14678
epictetus,84187
euclid,153965
euripides,200505
eusebius_caesarea,106363
eutropius,18998
flavius_josephus,494385
florus,28334
galen,31803
gellius,125081
glass,27622
gregory_of_nazianzus,56350
herodotus,189385
hesiod,7524
hippocrates,27211
homer,254814
horace,60005
hyperides,11967
isaeus,34379
isocrates,122966
italicus,8749
jerome,1032274
juvenal,28783
juvencus,29400
libanius,427878
livy,545657
lucan,59126
lucian,281611
lucretius,56458
lycophron,8938
lycurgus,11074
lysias,58390
macrobius,90955
manilius,36093
marcus_aurelius,29883
marcus_mincuius_felix,12142
martial,46998
nepos,30896
new_testament,162960
nonnus_of_panopolis,169447
oppian,29765
oppian_of_apamea,35546
ovid,290354
paulus_diaconus,13740
pausanias,221270
persius,5757
petronius,30755
philostratus_the_athenian,151187
philostratus_the_lemnian,23222
phlegon,5272
pindar,27970
plato,585971
plautus,207519
pliny_the_elder,398955
pliny_the_younger,76275
plutarch,971550
plutarch_pseudo,23909
polignac,165419
polybius,324354
priscian,24094
propertius,29774
prudentius,44089
pseudo_cicero,1903
pseudo_quintilian,68375
q_cicero,4524
quintilian,180193
quintus_smyrnaeus,77756
rutilius,6108
sallust,38794
scriptores_historiae_augustae,75240
seneca,354442
seneca_the_elder,98745
servius_honoratus,55651
silius_italicus,88495
sophocles,82480
statius,123108
strabo,287084
suetonius,74158
tacitus,165419
terence,62660
tertullian,27203
theocritus,27159
theophrastus,7319
thucydides,157559
tibullus,14294
tryphiodorus,4923
valerius_flaccus,48442
valerius_maximus,82112
vergil,109302
vitruvius,58659
xenophon,60109
