,lang,file,author,work,part,word count
0,latin,texts/ammianus.rerum_gestarum.part.14.tess,ammianus,rerum_gestarum,14,8386
1,latin,texts/ammianus.rerum_gestarum.part.15.tess,ammianus,rerum_gestarum,15,7024
2,latin,texts/ammianus.rerum_gestarum.part.16.tess,ammianus,rerum_gestarum,16,7834
3,latin,texts/ammianus.rerum_gestarum.part.17.tess,ammianus,rerum_gestarum,17,7559
4,latin,texts/ammianus.rerum_gestarum.part.18.tess,ammianus,rerum_gestarum,18,5147
5,latin,texts/ammianus.rerum_gestarum.part.19.tess,ammianus,rerum_gestarum,19,5844
6,latin,texts/ammianus.rerum_gestarum.part.20.tess,ammianus,rerum_gestarum,20,6626
7,latin,texts/ammianus.rerum_gestarum.part.21.tess,ammianus,rerum_gestarum,21,7297
8,latin,texts/ammianus.rerum_gestarum.part.22.tess,ammianus,rerum_gestarum,22,9119
9,latin,texts/ammianus.rerum_gestarum.part.23.tess,ammianus,rerum_gestarum,23,6991
10,latin,texts/ammianus.rerum_gestarum.part.24.tess,ammianus,rerum_gestarum,24,5912
11,latin,texts/ammianus.rerum_gestarum.part.25.tess,ammianus,rerum_gestarum,25,6976
12,latin,texts/ammianus.rerum_gestarum.part.26.tess,ammianus,rerum_gestarum,26,6458
13,latin,texts/ammianus.rerum_gestarum.part.27.tess,ammianus,rerum_gestarum,27,6424
14,latin,texts/ammianus.rerum_gestarum.part.28.tess,ammianus,rerum_gestarum,28,7313
15,latin,texts/ammianus.rerum_gestarum.part.29.tess,ammianus,rerum_gestarum,29,7850
16,latin,texts/ammianus.rerum_gestarum.part.30.tess,ammianus,rerum_gestarum,30,6194
17,latin,texts/ammianus.rerum_gestarum.part.31.tess,ammianus,rerum_gestarum,31,9818
18,latin,texts/anonymous.laudes_domini.tess,anonymous,laudes_domini,,1212
19,latin,texts/apuleius.apologia.tess,apuleius,apologia,,22072
20,latin,texts/apuleius.florida.tess,apuleius,florida,,7930
21,latin,texts/apuleius.metamorphoses.part.1.tess,apuleius,metamorphoses,1,4051
22,latin,texts/apuleius.metamorphoses.part.10.tess,apuleius,metamorphoses,10,5840
23,latin,texts/apuleius.metamorphoses.part.11.tess,apuleius,metamorphoses,11,4987
24,latin,texts/apuleius.metamorphoses.part.2.tess,apuleius,metamorphoses,2,4869
25,latin,texts/apuleius.metamorphoses.part.3.tess,apuleius,metamorphoses,3,4171
26,latin,texts/apuleius.metamorphoses.part.4.tess,apuleius,metamorphoses,4,5202
27,latin,texts/apuleius.metamorphoses.part.5.tess,apuleius,metamorphoses,5,4658
28,latin,texts/apuleius.metamorphoses.part.6.tess,apuleius,metamorphoses,6,4580
29,latin,texts/apuleius.metamorphoses.part.7.tess,apuleius,metamorphoses,7,4162
30,latin,texts/apuleius.metamorphoses.part.8.tess,apuleius,metamorphoses,8,4901
31,latin,texts/apuleius.metamorphoses.part.9.tess,apuleius,metamorphoses,9,6616
32,latin,texts/aristotle.economics_book_3.tess,aristotle,economics_book_3,,1751
33,latin,texts/augustine.de_doctrina_christiana.part.4.tess,augustine,de_doctrina_christiana,4,12851
34,latin,texts/augustine.epistulae_selections.part.1.1-10.tess,augustine,epistulae_selections,,8290
35,latin,texts/augustine.epistulae_selections.part.2.11-20.tess,augustine,epistulae_selections,,3725
36,latin,texts/augustine.epistulae_selections.part.3.21-30.tess,augustine,epistulae_selections,,6682
37,latin,texts/augustine.epistulae_selections.part.4.31-40.tess,augustine,epistulae_selections,,8115
38,latin,texts/augustine.epistulae_selections.part.5.41-50.tess,augustine,epistulae_selections,,10042
39,latin,texts/augustine.epistulae_selections.part.6.51-62.tess,augustine,epistulae_selections,,9947
40,latin,texts/aurelius_victor.de_caesaribus.tess,aurelius_victor,de_caesaribus,,11512
41,latin,texts/aurelius_victor.epitome_de_caesaribus.tess,aurelius_victor,epitome_de_caesaribus,,9844
42,latin,texts/ausonius.cento_nuptialis.tess,ausonius,cento_nuptialis,,2050
43,latin,texts/ausonius.commemoratio_professorum_burdigalensium.tess,ausonius,commemoratio_professorum_burdigalensium,,2688
44,latin,texts/ausonius.cupido_cruciatus.tess,ausonius,cupido_cruciatus,,934
45,latin,texts/ausonius.de_bissula.tess,ausonius,de_bissula,,387
46,latin,texts/ausonius.de_herediolo.tess,ausonius,de_herediolo,,314
47,latin,texts/ausonius.de_xii_caesaribus.tess,ausonius,de_xii_caesaribus,,911
48,latin,texts/ausonius.eclogarum_liber.tess,ausonius,eclogarum_liber,,3647
49,latin,texts/ausonius.ephemeris_id_est_totius_diei_negotium.tess,ausonius,ephemeris_id_est_totius_diei_negotium,,1755
50,latin,texts/ausonius.epicedion_in_patrem.tess,ausonius,epicedion_in_patrem,,621
51,latin,texts/ausonius.epigrammata_ausonii_de_diversis_rebus.tess,ausonius,epigrammata_ausonii_de_diversis_rebus,,4970
52,latin,texts/ausonius.epistularum.tess,ausonius,epistularum,,13756
53,latin,texts/ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.tess,ausonius,epitaphia_heroum_qui_bello_troico_interfuerunt,,1577
54,latin,texts/ausonius.gratiarum_actio.tess,ausonius,gratiarum_actio,,4177
55,latin,texts/ausonius.griphus_ternarii_numeri.tess,ausonius,griphus_ternarii_numeri,,775
56,latin,texts/ausonius.libri_de_fastis_conclusio.tess,ausonius,libri_de_fastis_conclusio,,192
57,latin,texts/ausonius.ludus_septem_sapientum.tess,ausonius,ludus_septem_sapientum,,1828
58,latin,texts/ausonius.mosella.tess,ausonius,mosella,,3926
59,latin,texts/ausonius.oratio_consulis_ausonii_versibus_rhopalicis.tess,ausonius,oratio_consulis_ausonii_versibus_rhopalicis,,295
60,latin,texts/ausonius.ordo_urbium_nobilium.tess,ausonius,ordo_urbium_nobilium,,1382
61,latin,texts/ausonius.parentalia.tess,ausonius,parentalia,,3492
62,latin,texts/ausonius.praefatiunculae.tess,ausonius,praefatiunculae,,682
63,latin,texts/ausonius.precationes.tess,ausonius,precationes,,677
64,latin,texts/ausonius.technopaegnion.tess,ausonius,technopaegnion,,1883
65,latin,texts/ausonius.versus_paschales_pro_augusto_dicti.tess,ausonius,versus_paschales_pro_augusto_dicti,,249
66,latin,texts/bede.historiam_ecclesiasticam_gentis_anglorum.part.1.tess,bede,historiam_ecclesiasticam_gentis_anglorum,1,15101
67,latin,texts/bede.historiam_ecclesiasticam_gentis_anglorum.part.2.tess,bede,historiam_ecclesiasticam_gentis_anglorum,2,12072
68,latin,texts/bede.historiam_ecclesiasticam_gentis_anglorum.part.3.tess,bede,historiam_ecclesiasticam_gentis_anglorum,3,16590
69,latin,texts/bede.historiam_ecclesiasticam_gentis_anglorum.part.4.tess,bede,historiam_ecclesiasticam_gentis_anglorum,4,17759
70,latin,texts/bede.historiam_ecclesiasticam_gentis_anglorum.part.5.tess,bede,historiam_ecclesiasticam_gentis_anglorum,5,18147
71,latin,texts/boethius.consolatio_philosophiae.part.1.tess,boethius,consolatio_philosophiae,1,3434
72,latin,texts/boethius.consolatio_philosophiae.part.2.tess,boethius,consolatio_philosophiae,2,4558
73,latin,texts/boethius.consolatio_philosophiae.part.3.tess,boethius,consolatio_philosophiae,3,6708
74,latin,texts/boethius.consolatio_philosophiae.part.4.tess,boethius,consolatio_philosophiae,4,5713
