author,work,word count
achilles_tatius,leucippe_et_clitophon,43748
aelian,de_natura_animalium,104930
aelian,epistulae_rusticae,2221
aelian,varia_historia,39657
aelius_aristides,ars_rhetorica,17844
aelius_aristides,orationes,301919
aeschines,against_ctesiphon,44997
aeschines,against_timarchus,13759
aeschines,on_the_embassy,12505
aeschylus,agamemnon,11552
aeschylus,eumenides,7421
aeschylus,libation_bearers,7625
aeschylus,persians,7351
aeschylus,prometheus_bound,8132
aeschylus,seven_against_thebes,7287
aeschylus,suppliant_women,7130
ammianus,rerum_gestarum,128772
andocides,against_alcibiades,2793
andocides,on_his_return,1977
andocides,on_the_mysteries,17671
andocides,on_the_peace,2715
anonymous,laudes_domini,1212
antiphon,speeches,18388
apollodorus,epitome,8622
apollodorus,library,27680
apollonius,argonautica,50512
appian,civil_wars,118255
apuleius,apologia,22072
apuleius,florida,7930
apuleius,metamorphoses,54037
aretaeus,curatione_acutorum_morbum,50898
aretaeus,signorum_acutorum_morbum,9474
aristophanes,acharnians,9588
aristophanes,birds,14209
aristophanes,clouds,12628
aristophanes,ecclesiazusae,10141
aristophanes,frogs,12301
aristophanes,knights,11724
aristophanes,lysistrata,10693
aristophanes,peace,10719
aristophanes,plutus,10573
aristophanes,thesmophoriazusae,9744
aristophanes,wasps,12899
aristotle,constitution,17080
aristotle,economics,6311
aristotle,economics_book_3,1751
aristotle,eudemian_ethics,26538
aristotle,metaphysics,78639
aristotle,nicomachean_ethics,60580
aristotle,poetics,10165
aristotle,politics,66128
aristotle,rhetoric,45092
aristotle,virtues_and_vices,1618
athenaeus,deipnosophists,273888
augustine,de_doctrina_christiana,12851
augustine,epistulae_selections,46801
aurelius_victor,de_caesaribus,11512
aurelius_victor,epitome_de_caesaribus,9844
ausonius,cento_nuptialis,2050
ausonius,commemoratio_professorum_burdigalensium,2688
ausonius,cupido_cruciatus,934
ausonius,de_bissula,387
ausonius,de_herediolo,314
ausonius,de_xii_caesaribus,911
ausonius,eclogarum_liber,3647
ausonius,ephemeris_id_est_totius_diei_negotium,1755
ausonius,epicedion_in_patrem,621
ausonius,epigrammata_ausonii_de_diversis_rebus,4970
ausonius,epistularum,13756
ausonius,epitaphia_heroum_qui_bello_troico_interfuerunt,1577
ausonius,gratiarum_actio,4177
ausonius,griphus_ternarii_numeri,775
ausonius,libri_de_fastis_conclusio,192
ausonius,ludus_septem_sapientum,1828
ausonius,mosella,3926
ausonius,oratio_consulis_ausonii_versibus_rhopalicis,295
ausonius,ordo_urbium_nobilium,1382
ausonius,parentalia,3492
ausonius,praefatiunculae,682
ausonius,precationes,677
ausonius,technopaegnion,1883
ausonius,versus_paschales_pro_augusto_dicti,249
bacchylides,dithyrambs,2046
bacchylides,epinicians,6210
barnabas,barnabae_epistulae,7103
basil_of_caesarea,de_legendis,4889
basil_of_caesarea,epistulae,134799
bede,historiam_ecclesiasticam_gentis_anglorum,79669
bion_of_phlossa,epitaphius,913
bion_of_phlossa,epithalamium,289
bion_of_phlossa,fragmenta,1087
boethius,consolatio_philosophiae,24834
boethius,de_fide_catholica,2095
boethius,liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium,6446
boethius,quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona,1496
boethius,quomodo_trinitas,3113
boethius,utrum_pater,592
caesar,de_bello_civili,35897
caesar,de_bello_gallico,55593
caesar_augustus,res_gestae_divi_augusti,2696
callimachus,epigrams,2536
callimachus,hymns,9557
callistratus,statuarum_descriptiones,3945
catullus,carmina,15334
celsus,de_medicina,103015
chariton,de_chaerea,36395
cicero,academica,4971
cicero,brutus,25289
cicero,cum_populo_gratias_egit,2716
cicero,de_amicitia,9549
cicero,de_divinatione,28115
cicero,de_domo_sua,15587
cicero,de_fato,5044
cicero,de_finibus_bonorum_et_malorum,48158
cicero,de_haruspicum_responso,7717
cicero,de_imperio_cn_pompei,6808
cicero,de_inventione,32880
cicero,de_lege_agraria_contra_rullum,14087
cicero,de_natura_deorum,36510
cicero,de_officiis,34979
cicero,de_optimo_genere_oratorum,1617
cicero,de_oratore,63884
cicero,de_partitione_oratoria,10231
cicero,de_provinciis_consularibus,5268
cicero,de_republica,22695
cicero,de_senectute,8431
cicero,divinatio_in_c_verrem,102491
cicero,divinatio_in_q_caecilium,6037
cicero,epistulae_ad_familiares,115592
cicero,in_catilinam,12789
cicero,in_l_pisonem,11180
cicero,in_vatinium,4613
cicero,letters_to_atticus,126423
cicero,letters_to_brutus,9767
cicero,letters_to_quintus,18869
cicero,lucullus,18280
cicero,orator,19037
cicero,paradoxa_stoicorum_ad_m_brutum,4776
cicero,philippicae,53659
cicero,post_reditum_in_senatu,4447
cicero,pro_a_caecina,10595
cicero,pro_a_cluentio,21183
cicero,pro_archia,3181
cicero,pro_balbo,6993
cicero,pro_c_rabirio,3628
cicero,pro_c_rabirio_postumo,4169
cicero,pro_fonteio,4641
cicero,pro_l_flacco,11160
cicero,pro_ligario,3354
cicero,pro_m_caelio,8629
cicero,pro_marcello,2837
cicero,pro_milone,10725
cicero,pro_murena,10733
cicero,pro_plancio,11785
cicero,pro_publio_quinctio,8846
cicero,pro_q_roscio_comoedo,4877
cicero,pro_rege_deiotaro,3990
cicero,pro_s_roscio,13554
cicero,pro_scauro,3149
cicero,pro_sestio,17274
cicero,pro_sulla,9490
cicero,pro_tullio,3553
cicero,timaeus,4331
cicero,topica,7111
cicero,tusculanae_disputationes,48790
claudian,carmina_minora,14428
claudian,de_bello_gildonico,4217
claudian,de_bello_gothico,5381
claudian,de_consulatu_stilichonis,11345
claudian,de_raptu_proserpinae,10571
claudian,epithalamium_de_nuptiis_honorii_augusti,2935
